settlementDate,hour,y_pred_model,prompt_proxy_hourly,spread_vs_prompt_hourly
2026-02-27,1,9.660082918423202,32.415,-22.7549170815768
2026-02-27,2,10.701902780229132,30.939999999999998,-20.238097219770864
2026-02-27,3,10.134724516786006,28.30785714285714,-18.173132626071137
2026-02-27,4,10.355769765417204,26.09392857142857,-15.738158806011366
2026-02-27,5,11.884622915180762,23.411785714285713,-11.527162799104952
2026-02-27,6,14.291564427002465,25.036785714285713,-10.745221287283249
2026-02-27,7,21.58158522593296,31.357499999999998,-9.775914774067036
2026-02-27,8,31.57743153257007,35.91857142857143,-4.341139896001362
2026-02-27,9,34.94662297629791,35.799285714285716,-0.8526627379878065
2026-02-27,10,39.958880916867486,35.5225,4.436380916867485
2026-02-27,11,39.90959348765811,34.441785714285714,5.467807773372392
2026-02-27,12,39.08924579554832,32.95642857142857,6.132817224119755
2026-02-27,13,39.774029139364345,34.16178571428571,5.612243425078631
2026-02-27,14,37.171440399137865,33.816428571428574,3.3550118277092906
2026-02-27,15,36.239565490059455,34.4775,1.762065490059456
2026-02-27,16,36.70568201395656,38.79785714285715,-2.0921751289005854
2026-02-27,17,36.93784777565648,43.19571428571429,-6.257866510057809
2026-02-27,18,36.503971857888985,47.480000000000004,-10.97602814211102
2026-02-27,19,37.08103312209391,48.21357142857143,-11.132538306477514
2026-02-27,20,32.90907662274529,44.11821428571428,-11.209137662968992
2026-02-27,21,34.377872736554195,40.43,-6.052127263445804
2026-02-27,22,29.35135193128414,34.99464285714286,-5.643290925858718
2026-02-27,23,26.15779396822969,31.06392857142857,-4.906134603198879
2026-02-27,24,25.409914592335085,27.661785714285713,-2.2518711219506287
